C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0.02,0,12.7,330,14,1.69,1,9.25
0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0.02,0,12.7,310,14.5,1.69,1,3.67
0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0.02,0,12.7,325,14.5,1.69,1,0
0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0.02,0,12.7,305,14.5,1.69,1,0
0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0.02,0,12.7,330,14,1.69,1,0
0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0.02,0,12.7,330,13.5,1.69,1,1.93
0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0.02,0,12.7,330,13.5,1.69,1,5.09
0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0.02,0,12.7,325,14,1.69,1,13.6
0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0.02,0,12.7,300,15,1.69,2,1.63
0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0.02,0,12.7,310,14.5,1.69,2,8.98
0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0.02,0,12.7,325,14.5,1.69,2,0
0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0.02,0,12.7,305,14.5,1.69,2,0.95
0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0.02,0,12.7,330,13.5,1.69,2,11.93
0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0.02,0,12.7,330,13.5,1.69,2,11.23
0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0.02,0,12.7,325,14.5,1.69,2,18.68
0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0.02,0,6.3,180,17,2.5,3.1,3.37
